Author;year;journal;species;Date;season;plot;d18O_permil;d2H_permil;xylem;plant_tissue;OBS1;OBS2;OBS3
Querejeta;2007;Oecologia;Brosimum alicastrum;;;;-2.052307692;-18.97790055;yes;xylem;;;
Querejeta;2007;Oecologia;Enterolobium cyclocarpum;;;;-2.661538462;-17.67955801;yes;xylem;;;
Querejeta;2007;Oecologia;Talisia olivaeformis;;;;-2.8;-20.96685083;yes;xylem;;;
Moore;2016;Ecohydrology;Arundo donax;2011Jul;NA;NA;-4.35443038;-40.64516129;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jul;NA;NA;-3.848101266;-40;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jul;NA;NA;-3.443037975;-39.35483871;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jul;NA;NA;-3.544303797;-37.41935484;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jul;NA;NA;-3.443037975;-35.48387097;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jul;NA;NA;-3.139240506;-30.96774194;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jul;NA;NA;-2.734177215;-27.09677419;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jul;NA;NA;-1.924050633;-26.4516129;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jul;NA;NA;-1.417721519;-25.80645161;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jul;NA;NA;-1.113924051;-24.51612903;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jul;NA;NA;-1.113924051;-28.38709677;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jul;NA;NA;-1.620253165;-28.38709677;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jul;NA;NA;-1.82278481;-30.32258065;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jul;NA;NA;-2.126582278;-30.32258065;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jul;NA;NA;0.202531646;-25.16129032;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jul;NA;NA;0.810126582;-20;no;rizhome;NA;NA;NA
