species_plant,mico,,,,
Abelmoschus esculentus,AM,,,,
Abies alba,EM,,,,
Abies amabilis,EM,,,,
Abies balsamea,EM,,,,
Abies bifolia,EM,,,,
Abies cephalonica,EM,,,,
Abies concolor,EM,,,,
Abies firma,EM,,,,
Abies fraseri,EM,,,,
Abies grandis,EM,,,,
Abies holophylla,EM,,,,
Abies homolepis,EM,,,,
Abies koreana,EM,,,,
Abies lasiocarpa,EM,,,,
Abies magnifica,EM,,,,
Abies mayriana,EM,,,,
Abies nephrolepis,EM,,,,
Abies nobilis,EM,,,,
Abies nordmanniana,EM,,,,
Abies omorika,EM,,,,
Abies pindrow,EM,,,,
Abies pinsapo,EM,,,,
Abies sachalinensis,EM,,,,
Abies sibirica,EM,,,,
Abildgaardia ovata,AM,,,,
Abildgaardia triflora,NM,,,,
Abronia maritima,AM,,,,
Abronia umbellata,AM,,,,
Abutilon hybridum,AM,,,,
Abutilon indicum,AM,,,,
Abutilon otocarpum,AM,,,,
Abutilon theophrasti,AM,,,,
Acacia albida,AM,,,,
Acacia auriculiformis,AM,,,,
Acacia cochliacantha,AM,,,,
Acacia constricta,AM,,,,
Acacia dealbata,AM,,,,
Acacia farnesiana,AM,,,,
Acacia holosericea,EM,,,,
Acacia koa,AM,,,,
Acacia linifolia,EM,,,,
Acacia mangium,EM,,,,
Acacia pennatula,AM,,,,
Acacia polyphylla,AM,,,,
Acacia suaveolens,EM,,,,
Acacia tortilis,AM,,,,
Acaena magellanica,AM,,,,
Acaena minor,AMNM,,,,
Acaena novae-zelandiae,AM,,,,
Acaena ovalifolia,AM,,,,
Acaena pinnatifida,AM,,,,
Acalypha acmophylla,AM,,,,
Acalypha wilkesiana,NM,,,,
Acanthophyllum borsczowi,NM,,,,
Acanthophyllum korolkowi,NM,,,,
Acanthophyllum krascheninnikovii,NM,,,,
Acca sellowiana,AM,,,,
Acer buergerianum,AM,,,,
Acer campestre,AMNM,,,,
Acer cappadocicum,AM,,,,
Acer davidii,AM,,,,
Acer ginnala,AM,,,,
Acer negundo,AMNM,,,,
Acer pictum,AMNM,,,,
Acer platanoides,AMNM,,,,
Acer pseudoplatanus,AMNM,,,,
Acer pseudosieboldianum,AMNM,,,,
Acer pubescens,AM,,,,
Acer rubrum,AM,,,,
Acer saccharinum,AM,,,,
Acer saccharum,AM,,,,
Acer spicatum,AM,,,,
Acer tataricum,AMNM,,,,
Acer tegmentosum,AMNM,,,,
Acer turkestanicum,AM,,,,
