author,year,journal,species_plant,other_var_name,other_var_num_value,other_var_num_units,other_var_factor_value,date,season,plot,plotR,natural,id.campaign,d18O_permil_plant,d2H_permil_plant,xylem,plant_tissue,item_source,OBS1,OBS2
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,201006,dry,NA,NA,natural,Anderegg2013_NA,-14.23881,-118.80777,yes,xylem,Fig 3.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,201006,dry,NA,NA,natural,Anderegg2013_NA,-14.0597,-118.14961,yes,xylem,Fig 3.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,201007,dry,NA,NA,natural,Anderegg2013_NA,-14.04354,-34.67937,yes,xylem,Fig 3.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,201006,dry,NA,NA,natural,Anderegg2013_NA,-14,-114.91818,yes,xylem,Fig 3.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,201006,dry,NA,NA,natural,Anderegg2013_NA,-13.70149,-111.41162,yes,xylem,Fig 3.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,201006,dry,NA,NA,natural,Anderegg2013_NA,-13.70149,-115.38752,yes,xylem,Fig 3.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,201007,dry,NA,NA,natural,Anderegg2013_NA,-13.66593,-28.18336,yes,xylem,Fig 3.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,201007,dry,NA,NA,natural,Anderegg2013_NA,-13.06004,-22.00374,yes,xylem,Fig 3.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,201007,dry,NA,NA,natural,Anderegg2013_NA,-13.03759,-28.4283,yes,xylem,Fig 3.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,201008,wet,NA,NA,natural,Anderegg2013_NA,-12.87612,-102.35294,yes,xylem,Fig 3.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,201008,wet,NA,NA,natural,Anderegg2013_NA,-12.10727,-98.11765,yes,xylem,Fig 3.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,Drought experiment,99999,NA,control,201006,dry,S1 (prior to monsonal rain),NA,natural,Anderegg2013_NA,-11.80316,-101.52174,yes,xylem,Fig 5.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,Drought experiment,99999,NA,control,201006,dry,S2 (6 days after monsoon),NA,natural,Anderegg2013_NA,-11.67194,-99.34783,yes,xylem,Fig 5.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,201008,wet,NA,NA,natural,Anderegg2013_NA,-11.48235,-90.70588,yes,xylem,Fig 3.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,201008,wet,NA,NA,natural,Anderegg2013_NA,-11.45779,-95.64706,yes,xylem,Fig 3.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,201008,wet,NA,NA,natural,Anderegg2013_NA,-11.13149,-92.82353,yes,xylem,Fig 3.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,Drought experiment,99999,NA,control,201006,dry,S3 (16 days after monsoon),NA,natural,Anderegg2013_NA,-10.20474,-92.3913,yes,xylem,Fig 5.,NA,NA
Barbeta,2015,Global Change Biology,Arbutus unedo,Water_availability,99999,NA,CONTROL,201005,wet,C10,NA,natural,Barbeta2015_NA,-9.86,-84.6,yes,xylem,provided by author,NA,NA
Barbeta,2015,Global Change Biology,Quercus ilex,Water_availability,99999,NA,CONTROL,201007,dry,C10,NA,natural,Barbeta2015_NA,-9.17,-69.63,yes,xylem,provided by author,NA,NA
