Source;Group;species;Organ;Organ (details);Growth form;Climate;RP;AP;RAP
Bauch 2000;Angiosperm;Carapa guianensis;stem;trunk;angio tree;tropical;18;8;26
Bauch 2006;Gymnosperm;Podocarpus oleifolius;stem;trunk;gymno tree;tropical;4.9;2.2;7.1
Bhat 1985;Angiosperm;Anacardium occidentale;stem;branch/trunk;angio tree;tropical;29.45;6.5;35.95
Bhat 1985;Angiosperm;Dillenia pentagyna;stem;branch/trunk;angio tree;tropical;29.8;4.65;34.45
Bhat 1985;Angiosperm;Dipterocarpus indicus;stem;branch/trunk;angio tree;tropical;16.25;13.25;29.5
Bhat 1985;Angiosperm;Erythrina stricta;stem;branch/trunk;angio tree;tropical;18.25;46.9;65.15
Bhat 1985;Angiosperm;Grewia latifolia;stem;branch/trunk;angio tree;tropical;20.1;9.9;30
Bhat 1985;Angiosperm;Hevea brasiliensis;stem;branch/trunk;angio tree;tropical;24.65;11.2;35.85
Bhat 1985;Angiosperm;Lagerstroemia microcarpa;stem;branch/trunk;angio tree;tropical;17.45;14.55;32
Bhat 1985;Angiosperm;Stereospermum chelonoides;stem;branch/trunk;angio tree;tropical;11.8;19.7;31.5
Bhat 1985;Angiosperm;Tectona grandis;stem;branch/trunk;angio tree;tropical;10.8;7;17.8
Bhat 1985;Angiosperm;Terminalia paniculata;stem;branch/trunk;angio tree;tropical;18.6;16.45;35.05
Bhat 1985;Angiosperm;Xylia xylocarpa;stem;branch/trunk;angio tree;tropical;17.1;13.6;30.7
Bhat 2004;Angiosperm;Tectona grandis;stem;trunk;angio tree;tropical;;;24.2
Bhat 2004;Angiosperm;Tectona grandis;stem;trunk;angio tree;tropical;;;30.5
Borja de la Rosa 2010;Gymnosperm;Juniperus flaccida;stem;trunk;gymno tree;subtropical;7.72;0.18;7.9
Bravo 2010;Angiosperm;Aspidosperma quebracho-blanco;stem;trunk;angio tree;subtropical;19.8;8;27.8
Bravo 2010;Angiosperm;Schinopsis lorentzii;stem;trunk;angio tree;subtropical;18.4;4.9;23.3
Chapotin 2006;Angiosperm;Adansonia fony;stem;trunk;angio tree;tropical;;;67
Chapotin 2006;Angiosperm;Adansonia grandidieri;stem;trunk;angio tree;tropical;;;76
Chapotin 2006;Angiosperm;Adansonia za;stem;trunk;angio tree;tropical;;;72
Climent 1998;Gymnosperm;Pinus canariensis;stem;trunk;gymno tree;subtropical;10.04;3.44;13.47
Climent 1998;Gymnosperm;Pinus canariensis;stem;trunk;gymno tree;subtropical;11.55;3.09;14.64
da Siva 2011;Angiosperm;Mimosa ophthalmocentra;stem;trunk;angio tree;tropical;8.2;17.1;25.3
Danne 2008;Gymnosperm;Larix decidua;root;root;;temperate;10.8;;
Danne 2008;Gymnosperm;Larix decidua;stem;trunk;gymno tree;temperate;9.64;;9.64
das Neves Brandes 2008;Angiosperm;Acacia tenuifolia;stem;liana stem;climber;tropical;14;32;46
das Neves Brandes 2008;Angiosperm;Dalbergia frutescens;stem;liana stem;climber;tropical;12;33;45
das Neves Brandes 2008;Angiosperm;Piptadenia adiantoides;stem;liana stem;climber;tropical;17;24;41
das Neves Brandes 2008;Angiosperm;Piptadenia micracantha;stem;liana stem;climber;tropical;15;26;41
das Neves Brandes 2008;Angiosperm;Senegalia grandistipula;stem;liana stem;climber;tropical;12;35;47
das Neves Brandes 2008;Angiosperm;Senegalia lacerans;stem;liana stem;climber;tropical;12;33;45
das Neves Brandes 2008;Angiosperm;Senegalia martiusiana;stem;liana stem;climber;tropical;10;32;42
das Neves Brandes 2008;Angiosperm;Senegalia pedicellata;stem;liana stem;climber;tropical;8;43;51
