author,year,journal,species_source,other_var_name,other_var_value,other_var_units,other_var_factor_value,label,label_class,label_depth,label_pool,date,season,plot,plotR,natural,d18O_permil_source,d2H_permil_source,item_source,OBS1,OBS2
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,soil5cm,soil,shallow,bulk,201007,dry,NA,NA,natural,-10.17894,3.1536,FIG 4 y 5.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,soil5cm,soil,shallow,bulk,201007,dry,NA,NA,natural,-10.5882,-6.56234,FIG 4 y 5.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,soil5cm,soil,shallow,bulk,201007,dry,NA,NA,natural,-11.84861,-10.0017,FIG 4 y 5.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,soil10cm,soil,shallow,bulk,201007,dry,NA,NA,natural,-13.34343,-19.55435,FIG 4 y 5.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,soil10cm,soil,shallow,bulk,201007,dry,NA,NA,natural,-14.29053,-24.00919,FIG 4 y 5.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,soil5cm,soil,shallow,bulk,201007,dry,NA,NA,natural,-13.95169,-28.23439,FIG 4 y 5.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,deeper_soil,soil,deep,bulk,201007,dry,NA,NA,natural,-14.98044,-28.4181,FIG 4 y 5.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,soil25cm,soil,shallow,bulk,201007,dry,NA,NA,natural,-14.49532,-29.04576,FIG 4 y 5.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,soil50cm,soil,deep,bulk,201007,dry,NA,NA,natural,-14.89743,-31.26042,FIG 4 y 5.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,soil10cm,soil,shallow,bulk,201007,dry,NA,NA,natural,-13.86903,-31.43392,FIG 4 y 5.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,soil50cm,soil,deep,bulk,201007,dry,NA,NA,natural,-14.69774,-31.5819,FIG 4 y 5.,NA,NA
Anderegg,2013,Global Change Biology,Populus tremuloides,NA,99999,NA,NA,soil10cm,soil,shallow,bulk,201007,dry,NA,NA,natural,-14.4994,-33.3322,FIG 4 y 5.,NA,NA
