"study","campaign","species_plant","natural","leaf_habit","leaf_shape","plant_group","growth_form","woodiness","season","climate_class","log","lat","elevation","map","mat","mean_offset","se_offset","n_offset","mean_dexcess","se_dexcess","mean_lcexcess","se_lcexcess","SWLslope","SWLslope.std.error","SWLslope.pvalue","SWLintercept","SWLintercept.std.error","SWLintercept.pvalue","SWLrsquared","n_SWL","lang","absoluteOffset"
"Anderegg-2013","Anderegg-2013-201006-NA","Populus tremuloides","natural","deciduous","broadleaved","angiosperm","tree","tree","dry","cold",-107.671667,37.555278,2700,735,1.7,-4.14862839580099,0.972581593513447,8,-5.61061625,0.955236431097666,-16.915256275,0.980881390509687,5.04939982929953,0.955344040992194,5.02653642090817e-05,-39.5916090973542,13.433740613779,0.00861922459126733,0.608148111842541,20,432.352941176471,4.14862839580099
"Anderegg-2013","Anderegg-2013-201007-NA","Populus tremuloides","natural","deciduous","broadleaved","angiosperm","tree","tree","dry","cold",-107.671667,37.555278,2700,735,1.7,-5.70582577369267,1.56573807905394,4,79.2905075,1.52478304116452,68.017614,1.52355820098398,6.99650689274969,0.457337012500592,1.46958580716639e-10,71.4975697809106,6.49589949383036,1.39501024203077e-08,0.939768678264398,17,432.352941176471,5.70582577369267
"Anderegg-2013","Anderegg-2013-201008-NA","Populus tremuloides","natural","deciduous","broadleaved","angiosperm","tree","tree","wet","cold",-107.671667,37.555278,2700,735,1.7,-7.6072427419363,1.05030833507762,5,-1.44138,1.07380666706349,-12.81271976,1.08485382916599,7.86833153121348,0.385693491163563,2.3669134801295e-12,4.61072593042485,5.09869432323934,0.380133429431206,0.965211703959466,17,432.352941176471,7.6072427419363
"Barbeta-2015","Barbeta-2015-201005-NA","Arbutus unedo","natural","evergreen","broadleaved","angiosperm","shrub","shrub","wet","warm",1.03,41.3,930,640,13.4,1.1632231286533,1.53942402159069,6,-7.355,0.383690413397747,-17.2883333333333,0.299715161074274,3.81414743129186,0.197281993608722,2.40124261941723e-17,-43.1910352394524,1.54441719461864,1.79692395402409e-21,0.932631947034179,29,47.7611940298507,1.1632231286533
"Barbeta-2015","Barbeta-2015-201005-NA","Phillyrea latifolia","natural","evergreen","broadleaved","angiosperm","shrub","shrub","wet","warm",1.03,41.3,930,640,13.4,5.56895556832731,0.951220042754695,6,-6.38166666666666,1.21922766992515,-15.987,1.15470270344073,3.81414743129186,0.197281993608722,2.40124261941723e-17,-43.1910352394524,1.54441719461864,1.79692395402409e-21,0.932631947034179,29,47.7611940298507,5.56895556832731
"Barbeta-2015","Barbeta-2015-201005-NA","Quercus ilex","experimental","evergreen","broadleaved","angiosperm","tree","tree","wet","warm",1.03,41.3,930,640,13.4,3.64688458305713,1.1411307893494,6,-6.155,1.50843572396484,-15.9656666666667,1.42612270782629,3.81414743129186,0.197281993608722,2.40124261941723e-17,-43.1910352394524,1.54441719461864,1.79692395402409e-21,0.932631947034179,29,47.7611940298507,3.64688458305713
"Barbeta-2015","Barbeta-2015-201007-NA","Arbutus unedo","experimental","evergreen","broadleaved","angiosperm","shrub","shrub","dry","warm",1.03,41.3,930,640,13.4,-3.21247125674431,7.05167679586014,5,-12.778,5.70316438479551,-22.17,5.85114505032989,4.59682969960067,0.502796350656648,1.10012778920103e-10,-33.1494989250231,2.01090358091758,8.72955215078467e-18,0.710849482830171,36,47.7611940298507,3.21247125674431
"Barbeta-2015","Barbeta-2015-201007-NA","Phillyrea latifolia","natural","evergreen","broadleaved","angiosperm","shrub","shrub","dry","warm",1.03,41.3,930,640,13.4,2.74330727401914,3.04525698809604,6,-6.22666666666667,2.98440688319211,-15.6886666666667,2.9476512533051,4.59682969960067,0.502796350656648,1.10012778920103e-10,-33.1494989250231,2.01090358091758,8.72955215078467e-18,0.710849482830171,36,47.7611940298507,2.74330727401914
"Barbeta-2015","Barbeta-2015-201007-NA","Quercus ilex","natural","evergreen","broadleaved","angiosperm","tree","tree","dry","warm",1.03,41.3,930,640,13.4,1.22761694304733,2.66777671891847,8,-7.6275,2.9252458687873,-17.103,2.86392126288416,4.59682969960067,0.502796350656648,1.10012778920103e-10,-33.1494989250231,2.01090358091758,8.72955215078467e-18,0.710849482830171,36,47.7611940298507,1.22761694304733
"Barbeta-2015","Barbeta-2015-201010-NA","Arbutus unedo","experimental","evergreen","broadleaved","angiosperm","shrub","shrub","wet","warm",1.03,41.3,930,640,13.4,4.9790971043769,0.921185767290496,9,-0.445555555555554,0.973317795411241,-9.066,0.94152760035074,4.44546156430506,0.411807854860212,7.48021941835846e-12,-23.2012943255579,2.73350135333356,1.79887705607057e-09,0.795266288092159,32,47.7611940298507,4.9790971043769
